A,B,C,D,E,target
A1,1.0,4.0,D1,4.0,-0.168560635000006
A1,2.0,0.0,D0,1.0,-0.315914864999968
A1,2.0,0.0,D0,2.0,-0.207587075000049
A1,2.0,0.0,D0,3.0,0.56161606500001
A1,2.0,0.0,D0,4.0,-0.0327465350000011
A1,2.0,0.0,D1,1.0,-0.421019295000008
A1,2.0,0.0,D1,2.0,-0.0164501550000296
A1,2.0,0.0,D1,3.0,0.94060179500002
A1,2.0,0.0,D1,4.0,0.857605325000009
A1,2.0,1.0,D0,1.0,0.546073045000014
A1,2.0,1.0,D0,2.0,-0.143460044999983
A1,2.0,1.0,D0,3.0,0.190995584999996
A1,2.0,1.0,D0,4.0,0.194162804999962
A1,2.0,1.0,D1,1.0,-0.374638325000035
A1,2.0,1.0,D1,2.0,-0.296218365000016
A1,2.0,1.0,D1,3.0,1.00872524499999
A1,2.0,1.0,D1,4.0,0.893042845000025
A1,2.0,2.0,D0,1.0,0.180189934999987
A1,2.0,2.0,D0,2.0,0.112663754999971
A1,2.0,2.0,D0,3.0,0.0114782250000189
A1,2.0,2.0,D0,4.0,0.304073874999972
A1,2.0,2.0,D1,1.0,-0.366402134999987
A1,2.0,2.0,D1,2.0,-0.200661425000021
A1,2.0,2.0,D1,3.0,0.871832315000006
A1,2.0,2.0,D1,4.0,0.839417884999989
A1,2.0,3.0,D0,1.0,-0.754012224999997
A1,2.0,3.0,D0,2.0,-0.111824155000022
A1,2.0,3.0,D0,3.0,-0.0406988350000006
A1,2.0,3.0,D0,4.0,-0.0450655550000079
A1,2.0,3.0,D1,1.0,-0.424617345000002
A1,2.0,3.0,D1,2.0,-0.131816525000033
A1,2.0,3.0,D1,3.0,-0.363197984999999
A1,2.0,3.0,D1,4.0,0.841984744999991
A1,2.0,4.0,D0,1.0,0.0154444049999825
A1,2.0,4.0,D0,2.0,0.0612645649999877
A1,2.0,4.0,D0,3.0,-0.772080195000001
A1,2.0,4.0,D0,4.0,-0.293246955000029
A1,2.0,4.0,D1,1.0,-0.309455394999986
A1,2.0,4.0,D1,2.0,-0.232675964999999
A1,2.0,4.0,D1,3.0,-0.28822472500002
A1,2.0,4.0,D1,4.0,-0.376397704999988
A1,3.0,0.0,D0,1.0,0.520826744999965
A1,3.0,0.0,D0,2.0,0.0167485050000096
A1,3.0,0.0,D0,3.0,-0.0189097649999894
A1,3.0,0.0,D0,4.0,0.599465145000011
A1,3.0,0.0,D1,1.0,-0.723102415000028
A1,3.0,0.0,D1,2.0,0.0844609450000462
A1,3.0,0.0,D1,3.0,-0.18597928500003
A1,3.0,0.0,D1,4.0,0.882007595000005
A1,3.0,1.0,D0,1.0,1.15808543499998
A1,3.0,1.0,D0,2.0,-0.395018634999985
A1,3.0,1.0,D0,3.0,-0.21925898500001
A1,3.0,1.0,D0,4.0,0.370270844999993
A1,3.0,1.0,D1,1.0,0.015727394999999
A1,3.0,1.0,D1,2.0,-0.209259035000002
A1,3.0,1.0,D1,3.0,0.140707334999945
A1,3.0,1.0,D1,4.0,0.848103385000002
A1,3.0,2.0,D0,1.0,0.577060974999995
A1,3.0,2.0,D0,2.0,-0.0894703150000282
A1,3.0,2.0,D0,3.0,-0.180223075000015
A1,3.0,2.0,D0,4.0,0.59841919500002
A1,3.0,2.0,D1,1.0,-0.145286254999974
A1,3.0,2.0,D1,2.0,-0.0567030050000312
A1,3.0,2.0,D1,3.0,0.350546795000014
A1,3.0,2.0,D1,4.0,0.823843954999973
A1,3.0,3.0,D0,1.0,-0.415152195000019
A1,3.0,3.0,D0,2.0,-0.34204998499996
A1,3.0,3.0,D0,3.0,0.228683564999983
A1,3.0,3.0,D0,4.0,-0.0215793550000285
A1,3.0,3.0,D1,1.0,-0.54348887499998
A1,3.0,3.0,D1,2.0,0.0040905049999651
A1,3.0,3.0,D1,3.0,0.850633525000035
A1,3.0,3.0,D1,4.0,0.806947164999997
A1,3.0,4.0,D0,1.0,0.0833574349999822
A1,3.0,4.0,D0,2.0,-0.237207374999969
A1,3.0,4.0,D0,3.0,-0.0085922750000122
A1,3.0,4.0,D0,4.0,-0.459652704999996
A1,3.0,4.0,D1,1.0,-0.60010203500002
A1,3.0,4.0,D1,2.0,0.180002204999994
A1,3.0,4.0,D1,3.0,0.640546185000005
A1,3.0,4.0,D1,4.0,-0.320012435000024
A1,4.0,0.0,D0,1.0,-3.83156092500002
A1,4.0,0.0,D0,2.0,0.0661333349999609
A1,4.0,0.0,D0,3.0,-0.0577762049999819
A1,4.0,0.0,D0,4.0,0.203699255000004
A1,4.0,0.0,D1,1.0,-0.828816755000048
A1,4.0,0.0,D1,2.0,0.124713125000028
A1,4.0,0.0,D1,3.0,-0.193291295000051
A1,4.0,0.0,D1,4.0,-0.259212124999976
A1,4.0,1.0,D0,1.0,0.195242544999985
A1,4.0,1.0,D0,2.0,-0.19149960499999
A1,4.0,1.0,D0,3.0,0.170200614999999
A1,4.0,1.0,D0,4.0,-0.200348125000005
A1,4.0,1.0,D1,1.0,0.509898504999967
A1,4.0,1.0,D1,2.0,-0.139295875000016
A1,4.0,1.0,D1,3.0,-0.0820298950000051
A1,4.0,1.0,D1,4.0,0.0039445350000164
A1,4.0,2.0,D0,1.0,0.226472704999992
A1,4.0,2.0,D0,2.0,0.368707915000016
A1,4.0,2.0,D0,3.0,-0.0401014850000365
A1,4.0,2.0,D0,4.0,-0.195783684999981
A1,4.0,2.0,D1,1.0,-0.28643682500001
A1,4.0,2.0,D1,2.0,0.444388314999969
A1,4.0,2.0,D1,3.0,0.0349084950000247
A1,4.0,2.0,D1,4.0,0.0990964349999786
A1,4.0,3.0,D0,1.0,-1.42947894500003
A1,4.0,3.0,D0,2.0,0.135099534999995
A1,4.0,3.0,D0,3.0,0.364045294999983
A1,4.0,3.0,D0,4.0,-0.433609024999953
A1,4.0,3.0,D1,1.0,-0.583062245000008
A1,4.0,3.0,D1,2.0,0.472306424999999
A1,4.0,3.0,D1,3.0,0.420682494999994
A1,4.0,3.0,D1,4.0,0.0652475649999928
A1,4.0,4.0,D0,1.0,-0.977345605000039
A1,4.0,4.0,D0,2.0,0.179462185000034
A1,4.0,4.0,D0,3.0,0.515848734999963
A1,4.0,4.0,D0,4.0,0.0707665250000105
A1,4.0,4.0,D1,1.0,-0.454920355000013
A1,4.0,4.0,D1,2.0,0.108971915000041
A1,4.0,4.0,D1,3.0,0.0142736449999461
A1,4.0,4.0,D1,4.0,0.386536645000035
