X,Y1,Y2,Z
0.515151515,0.919191919,1.904476355,7.28766
0.515151515,0.931818182,1.92491065,7.26161
0.515151515,0.944444444,1.945344946,7.235390000000001
0.515151515,0.957070707,1.965779242,7.20916
0.515151515,0.96969697,1.986213537,7.18306
0.515151515,0.982323232,2.006647833,7.15725
0.515151515,0.994949495,2.027082128,7.13189
0.515151515,1.007575758,2.047516424,7.107130000000001
0.515151515,1.02020202,2.06795072,7.083130000000001
0.515151515,1.032828283,2.088385015,7.06005
0.515151515,1.045454545,2.108819311,7.03803
0.515151515,1.058080808,2.129253607,7.0172300000000005
0.515151515,1.070707071,2.149687902,6.99781
0.515151515,1.083333333,2.170122198,6.97993
0.515151515,1.095959596,2.190556494,6.96373
0.515151515,1.108585859,2.210990789,6.949380000000001
0.515151515,1.121212121,2.231425085,6.93702
0.515151515,1.133838384,2.251859381,6.92682
0.515151515,1.146464646,2.272293676,6.9189300000000005
0.515151515,1.159090909,2.292727972,6.9135
0.515151515,1.171717172,2.313162268,6.91069
0.515151515,1.184343434,2.333596563,6.91065
0.515151515,1.196969697,2.354030859,6.91355
0.515151515,1.20959596,2.374465155,6.91952
0.515151515,1.222222222,2.39489945,6.92874
0.515151515,1.234848485,2.415333746,6.94135
0.515151515,1.247474747,2.435768041,6.95751
0.515151515,1.26010101,2.456202337,6.9773700000000005
0.515151515,1.272727273,2.476636633,7.0011
0.515151515,1.285353535,2.497070928,7.028840000000001
0.515151515,1.297979798,2.517505224,7.06074
0.515151515,1.310606061,2.53793952,7.09698
0.515151515,1.323232323,2.558373815,7.13769
0.515151515,1.335858586,2.578808111,7.18304
0.515151515,1.348484848,2.599242407,7.23318
0.515151515,1.361111111,2.619676702,7.28826
0.515151515,1.373737374,2.640110998,7.34844
0.515151515,1.386363636,2.660545294,7.41388
0.515151515,1.398989899,2.680979589,7.48473
0.515151515,1.411616162,2.701413885,7.5611500000000005
0.515151515,1.424242424,2.721848181,7.64328
0.515151515,1.436868687,2.742282476,7.73129
0.515151515,1.449494949,2.762716772,7.825340000000001
0.515151515,1.462121212,2.783151068,7.9255700000000004
0.515151515,1.474747475,2.803585363,8.03214
0.515151515,1.487373737,2.824019659,8.1452
0.515151515,1.5,2.844453954,8.26492
0.53030303,0.275252525,0.900311026,4.67932
0.53030303,0.287878788,0.92134633,4.86941
0.53030303,0.300505051,0.942381635,5.05144
0.53030303,0.313131313,0.963416939,5.22556
0.53030303,0.325757576,0.984452243,5.39193
0.53030303,0.338383838,1.005487548,5.5507
0.53030303,0.351010101,1.026522852,5.70202
0.53030303,0.363636364,1.047558156,5.8460600000000005
0.53030303,0.376262626,1.068593461,5.98297
0.53030303,0.388888889,1.089628765,6.11289
0.53030303,0.401515152,1.110664069,6.23599
0.53030303,0.414141414,1.131699374,6.35241
0.53030303,0.426767677,1.152734678,6.46231
0.53030303,0.439393939,1.173769982,6.56585
0.53030303,0.452020202,1.194805287,6.6631800000000005
0.53030303,0.464646465,1.215840591,6.75446
0.53030303,0.477272727,1.236875896,6.83983
0.53030303,0.48989899,1.2579112,6.91945
0.53030303,0.502525253,1.278946504,6.99348
0.53030303,0.515151515,1.299981809,7.06207
0.53030303,0.527777778,1.321017113,7.12538
0.53030303,0.54040404,1.342052417,7.18355
0.53030303,0.553030303,1.363087722,7.23675
0.53030303,0.565656566,1.384123026,7.28512
0.53030303,0.578282828,1.40515833,7.32883
0.53030303,0.590909091,1.426193635,7.3680200000000005
0.53030303,0.603535354,1.447228939,7.40285
0.53030303,0.616161616,1.468264243,7.43347
0.53030303,0.628787879,1.489299548,7.46004
0.53030303,0.641414141,1.510334852,7.4827200000000005
0.53030303,0.654040404,1.531370156,7.501650000000001
